menu_item_id,transaction_id,item_quantity
21,1,3
69,1,2
20,2,2
17,3,3
69,4,2
22,5,3
19,5,2
20,6,3
22,6,2
83,6,2
18,7,1
17,7,3
83,7,2
18,8,2
22,9,3
20,10,3
83,11,2
19,11,3
20,11,2
21,12,1
18,13,1
18,14,1
20,14,3
70,14,2
20,15,3
20,16,1
70,16,3
20,17,1
22,17,1
22,18,1
83,19,3
21,19,3
20,20,5
17,20,2
19,21,2
70,21,3
20,21,1
70,22,3
22,23,3
21,24,3
83,25,2
83,26,1
70,27,3
19,27,2
83,28,2
19,29,2
21,30,2
17,31,3
70,32,1
83,32,2
21,32,2
20,33,1
18,34,3
69,34,1
20,34,2
70,35,3
22,36,3
70,36,4
18,37,2
17,38,1
18,39,3
19,40,3
18,40,1
22,40,3
69,41,5
21,42,1
83,42,1
22,43,3
17,44,1
18,44,2
70,44,1
22,45,3
83,45,3
19,46,2
17,47,3
18,47,4
20,48,5
18,49,3
83,49,3
17,49,1
83,50,1
83,51,2
70,51,1
22,52,3
22,53,3
69,53,1
20,54,4
18,54,1
83,55,2
17,55,3
22,55,2
19,56,3
20,57,3
21,58,1
17,59,3
69,59,1
18,59,3
21,60,1
17,61,1
17,62,3
19,62,1
83,62,3
17,63,3
18,63,2
19,64,1
20,64,3
22,64,1
20,65,3
22,66,1
70,67,4
20,67,1
18,68,1
20,68,2
83,68,3
19,69,1
18,70,1
19,70,1
17,70,3
21,71,6
22,71,1
21,72,2
83,72,2
69,73,2
21,73,1
70,74,4
21,75,3
83,75,3
17,76,2
18,77,3
22,77,3
20,77,3
20,78,3
17,78,1
20,79,1
22,79,2
69,80,2
20,81,2
21,82,3
17,83,1
22,83,1
21,83,2
69,84,1
20,85,2
21,85,1
18,85,2
21,86,3
18,86,1
19,87,3
70,87,1
17,88,3
22,88,3
17,89,3
18,89,1
22,90,2
17,90,1
20,91,1
18,91,3
17,91,3
17,92,3
69,93,1
70,93,1
19,93,2
70,94,3
19,94,3
19,95,1
19,96,2
21,96,6
22,97,2
83,97,1
18,98,2
17,99,3
21,99,3
20,100,2
21,100,2
21,101,3
69,101,1
20,101,2
19,102,3
17,102,3
18,103,3
70,104,2
83,105,1
21,105,1
69,105,3
20,106,2
70,106,2
70,107,2
21,108,1
21,109,3
20,109,1
83,109,1
19,110,3
17,111,1
20,111,3
69,111,1
22,112,3
19,112,2
17,112,3
21,113,4
22,114,1
17,114,4
69,115,3
21,115,1
22,115,2
69,116,1
21,116,2
22,117,2
69,118,1
18,118,1
17,119,3
22,120,1
70,120,1
22,121,1
18,121,2
70,122,2
17,123,1
69,123,3
22,124,1
20,125,3
22,125,2
21,125,2
19,126,1
17,126,2
21,126,2
83,127,1
19,128,2
18,129,2
21,130,2
69,130,1
21,131,1
20,131,3
18,131,3
83,132,3
19,132,2
20,133,2
21,134,2
69,134,2
21,135,3
22,135,1
19,136,1
20,136,1
17,137,1
19,137,1
21,137,1
22,138,2
69,138,2
20,138,2
20,139,2
18,140,3
19,140,1
70,141,1
22,142,2
19,142,1
22,143,2
17,143,2
20,143,2
69,144,1
18,144,3
22,145,2
21,145,3
19,145,2
19,146,2
22,146,2
70,146,3
83,147,2
21,147,3
20,147,2
17,148,2
22,148,2
69,148,1
18,149,2
21,149,3
17,150,1
70,150,3
20,150,2
17,151,3
19,151,3
83,152,1
70,153,1
17,153,1
83,154,1
21,155,5
70,155,1
17,156,2
20,156,1
83,157,1
18,157,2
21,158,1
83,158,2
22,158,2
20,159,1
19,159,3
22,160,1
20,161,1
19,162,3
83,162,1
83,163,2
70,163,1
19,163,3
83,164,2
20,164,2
69,164,3
18,165,1
69,165,2
70,165,1
70,166,3
17,167,5
22,168,3
22,169,1
19,169,1
17,170,3
83,170,3
69,171,1
17,172,2
21,173,1
18,173,1
83,173,3
20,174,1
83,175,1
83,176,3
70,177,3
18,178,2
69,178,3
17,179,3
20,179,1
17,180,2
19,181,3
69,181,1
20,181,3
20,182,1
20,183,4
20,184,2
17,184,2
20,185,3
21,185,2
69,186,2
69,187,3
83,187,3
20,187,2
19,188,2
69,188,1
22,188,1
22,189,3
18,189,1
21,189,1
22,190,2
18,191,2
21,191,3
69,192,3
18,193,4
19,194,2
69,194,1
22,195,1
70,195,1
83,196,3
21,196,2
70,197,1
83,197,2
83,198,1
70,198,2
70,199,3
83,199,1
83,200,1
69,200,4
20,201,2
22,201,1
83,201,3
70,202,1
21,202,3
17,203,1
83,203,2
18,204,2
19,204,2
22,204,3
70,205,1
17,206,3
19,206,2
17,207,3
18,207,3
69,207,2
18,208,3
83,208,2
21,209,1
21,210,2
17,210,3
83,210,3
22,211,3
69,212,1
17,213,2
22,213,2
69,214,3
17,215,1
22,215,2
69,216,2
70,216,3
20,217,1
70,217,2
83,217,1
21,218,3
20,219,2
22,219,1
18,220,3
21,220,3
83,221,3
69,222,2
22,222,2
18,223,3
83,223,1
19,224,1
19,225,1
70,225,1
83,225,2
21,226,1
69,227,3
18,227,1
22,227,2
83,228,2
83,229,3
70,229,1
21,229,3
70,230,6
20,231,3
21,231,1
22,232,2
21,232,1
22,233,1
83,233,3
21,234,1
22,234,3
22,235,2
19,236,2
17,236,3
22,237,1
70,237,2
20,237,3
17,238,3
70,239,2
20,239,2
18,239,3
21,240,1
17,240,3
19,240,3
69,241,3
22,241,4
69,242,2
22,243,2
70,243,2
83,244,1
17,245,1
20,245,3
19,246,4
18,246,3
19,247,1
70,247,3
22,247,1
22,248,2
17,248,2
19,249,1
18,249,2
69,249,3
83,250,1
70,250,3
69,251,2
17,252,3
83,253,1
22,254,4
21,254,1
18,255,2
70,255,3
17,256,1
83,256,3
22,256,3
20,257,2
17,257,1
18,258,2
83,258,3
70,258,3
21,259,2
17,259,2
70,259,3
22,260,2
17,260,2
19,261,2
70,261,3
69,261,1
21,262,5
17,262,3
83,263,1
18,264,2
19,264,3
83,265,2
17,266,1
18,266,3
20,266,1
17,267,2
83,267,2
21,267,1
20,268,1
69,268,2
21,269,3
70,269,2
20,270,3
21,270,1
70,270,3
17,271,1
21,272,2
69,272,2
69,273,1
19,273,5
18,274,1
70,275,1
19,275,1
83,276,2
19,276,3
69,276,3
22,277,3
21,278,2
19,279,1
17,279,2
83,279,2
19,280,1
17,280,1
19,281,2
20,282,2
19,282,3
22,283,2
17,283,1
69,284,1
17,285,1
70,286,3
19,286,3
69,286,3
21,287,2
69,288,2
22,289,2
22,290,2
20,291,2
22,292,1
20,292,2
20,293,3
19,293,1
22,294,1
18,294,3
22,295,3
70,296,1
21,297,2
20,297,1
70,298,2
22,299,2
21,300,1
22,300,2
83,301,2
17,301,2
69,302,3
70,302,1
20,303,2
70,303,2
19,303,1
17,304,1
69,305,2
83,305,1
18,305,2
22,306,1
83,307,2
20,307,2
18,307,3
22,308,2
83,308,3
20,308,3
20,309,5
18,310,5
17,311,1
83,311,1
19,312,3
69,313,3
83,313,3
21,314,2
21,315,2
22,315,2
18,315,3
19,316,1
18,316,2
20,317,1
20,318,3
21,319,1
21,320,2
70,320,2
17,320,1
19,321,1
17,321,2
21,322,3
20,322,2
21,323,1
69,323,1
20,324,1
22,324,3
21,325,1
17,326,1
19,326,3
69,326,3
22,327,1
70,327,1
19,327,2
83,328,1
19,329,3
21,329,1
19,330,1
20,330,1
83,330,2
70,331,2
19,332,3
70,332,1
20,333,5
69,333,2
22,334,3
70,335,2
20,335,2
70,336,3
83,337,3
18,338,3
69,338,1
17,338,2
70,339,1
22,339,2
83,340,3
69,341,3
69,342,3
69,343,3
18,344,2
17,345,3
69,345,3
21,345,3
70,346,1
17,346,2
17,347,2
70,348,2
70,349,3
17,349,3
18,350,1
69,350,2
21,351,1
83,351,3
20,351,2
22,352,3
69,353,1
20,353,5
18,354,1
20,354,1
22,354,2
17,355,1
21,356,3
70,356,3
22,356,2
21,357,2
17,357,1
70,358,3
83,358,3
22,358,1
19,359,3
22,359,2
69,359,2
19,360,3
70,360,3
18,360,3
69,361,3
83,361,2
20,362,6
21,362,1
21,363,2
83,364,3
19,364,2
69,364,2
70,365,2
69,365,2
69,366,2
17,366,2
70,367,3
19,368,1
20,369,2
21,369,3
17,370,3
22,371,2
70,372,2
22,372,1
70,373,2
69,374,3
17,375,3
18,375,1
70,375,1
19,376,1
18,377,3
69,377,6
70,378,1
19,378,2
69,379,2
70,379,3
83,380,2
19,380,1
20,380,1
83,381,3
20,381,6
70,382,1
18,383,3
69,384,2
70,385,3
20,386,2
83,386,2
18,387,2
21,388,4
22,389,1
17,389,3
21,390,2
17,390,3
70,390,2
22,391,2
19,391,3
83,392,3
20,392,2
17,392,1
22,393,2
83,394,3
69,395,3
21,395,1
21,396,2
17,396,3
22,396,2
21,397,2
22,397,3
19,397,3
22,398,2
17,399,2
69,400,2
20,400,3
19,401,1
21,401,1
21,402,4
19,402,1
69,403,6
70,403,1
21,404,2
21,405,3
69,405,2
18,405,3
20,406,3
19,406,1
69,407,2
20,407,3
69,408,1
19,409,3
70,409,3
22,410,1
70,410,1
17,410,3
22,411,1
21,411,1
17,411,1
20,412,4
17,412,3
83,413,3
20,413,3
21,413,2
18,414,1
83,414,1
22,415,2
21,416,3
70,416,1
20,416,1
17,417,5
22,418,2
21,418,3
83,418,3
17,419,1
19,420,2
18,420,2
20,420,2
22,421,1
18,422,2
21,422,3
20,423,1
21,424,1
70,424,1
22,424,1
69,425,3
20,425,2
17,426,1
22,427,2
17,427,1
19,428,1
22,429,2
70,430,2
22,430,1
21,430,1
20,431,1
83,431,3
22,431,2
70,432,2
18,433,3
21,433,1
83,434,3
18,434,1
19,435,3
20,436,2
20,437,1
22,438,1
70,438,1
69,438,3
18,439,2
19,439,4
19,440,1
19,441,1
20,441,2
83,442,2
17,442,1
69,442,1
20,443,2
19,443,4
22,444,1
20,445,2
18,445,3
18,446,1
19,446,4
22,447,6
19,447,3
17,448,3
19,448,2
18,449,2
19,450,4
22,450,2
69,451,3
22,452,1
69,452,1
21,453,1
70,453,1
83,453,3
21,454,1
70,454,1
20,454,3
20,455,3
69,455,2
21,455,1
20,456,2
22,456,1
19,457,2
22,458,1
69,459,1
18,459,3
21,459,2
17,460,2
18,461,1
21,461,2
22,461,3
69,462,2
22,462,1
70,463,4
21,463,2
70,464,1
19,465,3
83,465,2
18,465,1
22,466,3
18,466,1
70,466,1
17,467,1
83,467,3
69,468,3
83,468,1
70,469,2
19,469,1
21,469,1
70,470,1
83,471,3
19,471,2
70,472,3
18,472,3
21,472,1
21,473,2
18,474,3
19,475,2
17,475,1
19,476,3
21,476,3
69,476,1
22,477,2
21,478,3
22,478,2
19,478,1
83,479,3
17,479,1
17,480,2
19,480,2
18,481,1
22,481,2
18,482,3
20,483,6
18,484,1
83,484,1
70,485,2
21,485,2
21,486,1
20,486,1
21,487,3
83,487,3
22,488,1
19,488,1
21,489,3
22,489,2
20,489,1
17,490,3
22,490,2
18,491,2
69,492,2
22,493,3
17,494,2
19,495,1
21,495,1
19,496,3
20,496,3
18,497,1
17,497,2
21,498,1
22,499,3
20,499,3
70,500,1
20,500,2
70,501,1
20,501,2
18,502,3
83,502,2
83,503,1
22,503,1
69,503,1
20,504,1
19,504,3
70,504,2
21,505,4
18,505,2
19,506,3
22,506,5
22,507,2
22,508,3
69,508,1
70,508,1
21,509,2
20,510,3
18,511,3
22,512,3
70,512,1
22,513,2
18,513,1
17,513,1
83,514,2
22,514,1
18,514,1
20,515,1
22,515,1
69,516,1
70,517,2
19,518,3
69,518,3
18,519,1
83,519,3
20,520,3
83,520,2
83,521,1
21,522,1
18,523,3
69,523,2
17,524,3
19,524,2
17,525,1
69,525,3
20,525,3
21,526,1
20,526,2
21,527,3
69,527,3
19,527,3
17,528,2
20,528,2
19,528,3
20,529,3
18,530,3
17,531,3
20,532,1
21,532,1
17,533,4
69,533,3
17,534,1
70,534,2
83,534,2
17,535,1
83,535,3
70,536,2
69,536,1
18,536,1
83,537,2
19,537,2
22,537,3
18,538,3
83,538,1
70,539,3
69,540,3
83,540,1
69,541,3
20,541,2
19,541,1
21,542,3
83,542,3
19,542,1
83,543,3
69,543,3
83,544,2
18,544,2
19,544,2
22,545,2
17,546,1
18,546,1
20,547,2
21,548,1
19,549,2
18,549,3
20,550,1
22,550,1
18,550,1
19,551,3
21,552,3
70,553,5
21,553,2
20,554,2
21,555,3
70,555,1
18,556,3
69,556,2
18,557,3
19,557,1
20,558,4
17,558,1
21,559,2
22,559,1
83,560,6
69,561,3
18,561,2
20,562,3
21,562,2
17,563,2
19,563,1
18,563,1
21,564,1
17,565,1
83,566,1
18,567,3
83,568,3
70,568,2
83,569,1
18,569,1
69,569,1
20,570,3
22,570,1
18,571,1
69,572,1
83,572,1
22,572,3
22,573,2
19,574,3
20,575,3
70,575,2
70,576,3
21,576,2
22,576,2
18,577,2
83,578,1
19,578,2
17,579,3
17,580,1
22,581,4
83,581,2
17,582,2
20,583,2
69,583,2
22,584,2
83,584,3
19,584,1
70,585,2
19,586,3
22,587,1
69,587,1
18,588,1
19,588,3
69,589,1
19,589,2
20,590,1
83,590,3
20,591,2
18,591,1
21,592,2
18,592,1
20,592,2
21,593,1
70,594,3
19,594,2
18,595,1
20,595,1
20,596,2
21,596,2
22,597,1
19,597,4
21,598,3
20,598,3
22,599,2
21,600,2
22,600,1
18,600,3
69,601,2
18,602,2
22,602,2
21,602,1
18,603,1
19,604,2
20,604,3
22,605,3
18,605,2
69,606,4
70,607,2
22,608,1
18,608,2
18,609,8
18,610,3
83,611,3
22,612,1
17,612,2
21,612,1
22,613,3
21,613,3
17,614,1
83,614,3
20,614,3
21,615,1
83,615,2
70,615,3
83,616,3
70,616,3
19,617,2
70,617,2
22,617,3
70,618,1
19,619,1
83,619,1
70,619,1
21,620,3
22,620,1
17,621,3
18,621,3
17,622,3
22,622,2
20,623,2
18,623,3
70,624,3
19,625,3
17,626,1
22,627,2
70,627,3
17,627,2
17,628,1
70,629,3
22,629,4
83,630,3
22,630,1
22,631,3
20,632,1
21,632,3
69,632,3
20,633,1
83,633,3
22,634,5
18,634,1
20,635,3
18,635,3
17,636,3
70,636,2
20,637,2
22,638,1
17,638,3
69,638,2
20,639,2
22,639,1
18,640,3
70,640,3
83,640,1
22,641,2
18,641,3
70,642,3
69,642,3
69,643,2
22,644,3
20,644,3
69,645,2
70,645,3
22,646,3
17,646,3
83,646,3
22,647,1
20,647,2
69,648,2
18,648,3
22,648,2
69,649,2
83,649,3
83,650,1
69,650,3
22,651,3
69,651,1
20,652,2
22,652,1
20,653,3
19,653,3
17,654,4
19,655,3
19,656,1
20,656,1
83,657,3
22,658,4
21,658,3
18,659,1
69,660,1
22,660,3
69,661,4
20,661,3
22,662,3
70,662,1
22,663,2
19,663,3
83,664,1
17,664,1
21,665,3
20,665,3
22,665,2
21,666,2
19,666,3
70,667,3
18,667,3
18,668,1
83,668,6
20,669,1
21,669,2
83,670,1
19,670,1
83,671,2
19,672,2
18,672,1
22,673,2
20,674,2
19,675,4
21,675,1
70,676,2
21,676,3
19,676,3
17,677,3
83,678,3
22,678,1
69,678,1
21,679,1
69,679,1
21,680,1
22,680,3
83,680,2
83,681,2
70,681,3
22,682,2
18,683,1
17,684,4
20,684,2
69,685,1
18,685,2
22,685,3
22,686,3
21,687,1
19,687,2
