transaction_id,total_cost,transaction_time,transaction_date,transaction_type,customer_id,employee_id,week_number
1,6.67,20:53:27,2024-11-24,Gift Card,,6,47
2,41.79,19:14:56,2024-10-01,Credit/Debit,,3,40
3,15.09,14:18:27,2024-05-20,Credit/Debit,,4,21
4,40.92,15:49:20,2024-09-19,Gift Card,,5,38
5,40.82,21:28:27,2024-06-15,Gift Card,441,,24
6,31.74,10:58:53,2024-11-24,Credit/Debit,,2,47
7,35.33,14:30:58,2024-06-21,Gift Card,,2,25
8,21.29,14:21:25,2024-05-23,Credit/Debit,,11,21
9,26.38,20:40:42,2024-07-29,Gift Card,692,,31
10,42.37,19:11:09,2024-06-18,Gift Card,997,,25
11,31.07,15:37:20,2024-07-23,Gift Card,,13,30
12,43.37,18:45:04,2024-05-15,Credit/Debit,952,,20
13,36.49,16:49:41,2024-08-16,Gift Card,755,,33
14,32.32,13:28:04,2024-07-04,Credit/Debit,,6,27
15,35.31,13:45:39,2024-10-05,Credit/Debit,369,,40
16,20.56,12:58:30,2024-11-26,Gift Card,735,,48
17,45.99,19:44:37,2024-10-01,Credit/Debit,870,,40
18,32.44,20:01:33,2024-10-11,Gift Card,,4,41
19,5.36,21:58:46,2024-07-01,Gift Card,,1,27
20,38.79,20:13:41,2024-12-08,Gift Card,129,,49
21,33.29,12:29:23,2024-02-28,Credit/Debit,,2,9
22,7.76,13:04:33,2024-07-14,Credit/Debit,,7,28
23,21.17,21:38:58,2024-10-21,Credit/Debit,335,,43
24,22.56,10:55:42,2024-08-05,Gift Card,,13,32
25,36.31,15:37:55,2024-03-27,Credit/Debit,,7,13
26,29.31,16:50:49,2024-04-11,Credit/Debit,264,,15
27,40.26,18:54:40,2024-05-11,Gift Card,,4,19
28,44.3,17:23:23,2024-05-20,Credit/Debit,,2,21
29,39.94,19:58:38,2024-06-18,Credit/Debit,,8,25
30,35.5,11:18:23,2024-03-26,Gift Card,882,,13
31,33.9,18:41:30,2024-02-05,Credit/Debit,581,,6
32,41.22,18:09:38,2024-08-04,Gift Card,740,,31
33,45.07,20:32:38,2024-05-31,Gift Card,,13,22
34,32.78,20:55:05,2024-08-12,Gift Card,,6,33
35,21.53,13:08:57,2024-04-14,Gift Card,692,,15
36,27.23,12:39:43,2024-01-22,Gift Card,794,,4
37,30.06,10:57:24,2024-01-30,Gift Card,579,,5
38,21.95,19:39:35,2024-03-04,Credit/Debit,,9,10
39,30.56,19:33:57,2024-11-27,Credit/Debit,540,,48
40,23.86,12:06:08,2024-11-28,Gift Card,374,,48
41,27.94,10:59:15,2024-03-22,Credit/Debit,507,,12
42,22.77,17:50:28,2024-01-10,Gift Card,906,,2
43,5.16,17:08:59,2024-11-04,Gift Card,489,,45
44,35.18,19:53:10,2024-09-16,Credit/Debit,,9,38
45,35.52,11:43:10,2024-11-15,Gift Card,887,,46
46,48.94,13:12:44,2024-06-03,Credit/Debit,,6,23
47,28.99,10:54:31,2024-07-29,Credit/Debit,,8,31
48,17.62,18:19:47,2024-02-15,Gift Card,,1,7
49,35.24,21:47:41,2024-03-21,Gift Card,,12,12
50,28.64,17:08:01,2024-04-10,Gift Card,,13,15
51,30.86,12:08:47,2024-05-20,Gift Card,,5,21
52,45.28,18:57:38,2024-05-08,Credit/Debit,,2,19
53,25.91,19:31:13,2024-08-09,Credit/Debit,,11,32
54,43.95,10:57:11,2024-08-30,Gift Card,,4,35
55,40.71,14:02:37,2024-10-17,Credit/Debit,633,,42
56,37.75,18:59:35,2024-01-16,Credit/Debit,,3,3
57,21.46,10:03:31,2024-03-09,Gift Card,,7,10
58,49.49,19:19:25,2024-01-06,Gift Card,871,,1
59,28.03,10:50:08,2024-03-08,Credit/Debit,,12,10
60,25.48,16:20:18,2024-09-16,Gift Card,,10,38
61,15.9,18:56:41,2024-10-13,Gift Card,742,,41
62,41.01,20:42:31,2024-06-14,Gift Card,117,,24
63,9.36,20:40:02,2024-08-14,Credit/Debit,563,,33
64,16.73,20:37:19,2024-10-27,Credit/Debit,15,,43
65,7.5,20:54:06,2024-07-30,Credit/Debit,,11,31
66,17.84,14:45:02,2024-01-04,Gift Card,,7,1
67,30.21,20:55:12,2024-09-30,Gift Card,,13,40
68,13.94,21:17:07,2024-02-09,Credit/Debit,,7,6
69,18.96,13:04:26,2024-01-14,Gift Card,,6,2
70,40.47,14:52:09,2024-02-15,Credit/Debit,403,,7
71,39.65,10:10:39,2024-08-27,Credit/Debit,180,,35
72,13.13,12:31:19,2024-02-08,Credit/Debit,,7,6
73,42.4,21:52:28,2024-09-28,Gift Card,509,,39
74,32.19,12:22:39,2024-07-12,Gift Card,101,,28
75,37.09,14:09:19,2024-09-26,Gift Card,517,,39
76,38.74,19:36:38,2024-11-08,Credit/Debit,,12,45
77,21.76,11:50:36,2024-02-13,Gift Card,624,,7
78,32.28,12:58:00,2024-09-25,Gift Card,192,,39
79,32.95,16:43:39,2024-01-30,Credit/Debit,,11,5
80,17.22,10:24:05,2024-01-14,Gift Card,801,,2
81,18.75,18:15:16,2024-03-15,Gift Card,,4,11
82,23.21,14:31:03,2024-04-25,Credit/Debit,902,,17
83,34.89,15:33:39,2024-06-23,Gift Card,,6,25
84,40.3,16:11:15,2024-04-12,Gift Card,878,,15
85,10.24,15:51:21,2024-12-05,Gift Card,261,,49
86,16.71,10:12:31,2024-06-21,Gift Card,34,,25
87,22.1,13:21:23,2024-11-26,Credit/Debit,214,,48
88,6.39,10:53:24,2024-04-16,Gift Card,,4,16
89,36.42,14:00:01,2024-02-12,Credit/Debit,,8,7
90,28.18,11:01:55,2024-09-18,Credit/Debit,814,,38
91,40.3,13:22:32,2024-11-08,Credit/Debit,367,,45
92,14.71,11:18:21,2024-06-30,Gift Card,967,,26
93,30.35,16:25:32,2024-10-22,Gift Card,,10,43
94,31.0,14:59:11,2024-03-23,Gift Card,,1,12
95,5.21,19:24:10,2024-06-02,Credit/Debit,310,,22
96,7.51,20:11:34,2024-10-19,Credit/Debit,476,,42
97,13.05,20:46:53,2024-03-12,Gift Card,902,,11
98,24.81,14:14:10,2024-08-27,Gift Card,,4,35
99,14.61,12:11:07,2024-05-10,Gift Card,756,,19
100,10.31,14:27:36,2024-04-27,Credit/Debit,944,,17
101,30.6,20:58:08,2024-11-26,Credit/Debit,,5,48
102,27.73,16:15:56,2024-03-13,Credit/Debit,,13,11
103,45.69,12:29:11,2024-10-23,Credit/Debit,409,,43
104,13.37,10:19:01,2024-04-26,Credit/Debit,,13,17
105,10.7,14:45:12,2024-09-17,Credit/Debit,551,,38
106,32.25,12:21:49,2024-09-06,Gift Card,,1,36
107,20.06,13:52:03,2024-02-16,Credit/Debit,,12,7
108,19.67,19:16:37,2024-03-23,Gift Card,,5,12
109,44.8,19:06:29,2024-11-24,Gift Card,,12,47
110,26.59,13:46:17,2024-04-16,Credit/Debit,915,,16
111,41.89,15:01:18,2024-06-02,Credit/Debit,209,,22
112,28.54,19:16:19,2024-10-03,Credit/Debit,,3,40
113,36.19,19:33:44,2024-05-17,Credit/Debit,,12,20
114,10.35,20:27:12,2024-09-21,Gift Card,54,,38
115,34.58,12:31:38,2024-07-24,Credit/Debit,258,,30
116,42.48,10:00:11,2024-05-29,Gift Card,,13,22
117,33.76,13:37:22,2024-04-08,Gift Card,147,,15
118,7.27,21:53:52,2024-02-02,Gift Card,865,,5
119,33.02,13:17:21,2024-03-23,Gift Card,492,,12
120,18.25,21:03:25,2024-01-06,Credit/Debit,,7,1
